fall		0000000000000,000000000,0000000000
hold		0000000000000,000000000,0000000000
look		0000000000000,000000000,0000000000
lose		0000000000000,000000000,0000000000
open		0000000000000,000000000,0000000000
praise		0000000000000,000000000,0000000000
say		0000000000000,000000000,0000000000
sit		0000000000000,000000000,0000000000
